"iot_lora_id","port","arrtime","rssi","district","post_code","unit","recording"
17592,6,"2024-03-01 00:17:49",-76,46,420064,"#12-594","audio/mpeg"
17592,6,"2024-03-01 00:49:56",-74,46,420064,"#12-594","audio/mpeg"
17592,6,"2024-03-01 01:04:40",-72,46,420064,"#12-594","audio/mpeg"
17592,6,"2024-03-01 01:14:19",-80,46,420064,"#12-594","audio/mpeg"
17592,6,"2024-03-01 01:42:27",-80,46,420064,"#12-594","audio/mpeg"
7508,6,"2024-03-01 01:45:30",-84,33,260033,"#04-3383","audio/mpeg"
7508,6,"2024-03-01 02:02:35",-88,33,260033,"#04-3383","audio/mpeg"
7508,6,"2024-03-01 02:02:35",-88,33,260033,"#04-3383","audio/mpeg"
7508,6,"2024-03-01 02:07:42",-86,33,260033,"#04-3383","audio/mpeg"
7508,6,"2024-03-01 02:07:42",-86,33,260033,"#04-3383","audio/mpeg"
7508,6,"2024-03-01 02:13:08",-80,33,260033,"#04-3383","audio/mpeg"
7508,6,"2024-03-01 02:13:08",-80,33,260033,"#04-3383","audio/mpeg"
7508,6,"2024-03-01 02:19:14",-88,33,260033,"#04-3383","audio/mpeg"
7508,6,"2024-03-01 02:29:34",-88,33,260033,"#04-3383","audio/mpeg"
7508,6,"2024-03-01 02:29:34",-88,33,260033,"#04-3383","audio/mpeg"
7508,6,"2024-03-01 02:34:48",-85,33,260033,"#04-3383","audio/mpeg"
7508,6,"2024-03-01 02:34:48",-85,33,260033,"#04-3383","audio/mpeg"
13564,6,"2024-03-01 08:39:08",-84,46,130164,"#09-152","audio/mpeg"
17324,6,"2024-03-01 11:51:47",-74,46,320164,"#12-506","audio/mpeg"
15946,6,"2024-03-01 15:34:15",-79,46,"030064","#04-122","audio/mpeg"
14086,6,"2024-03-02 00:27:26",-102,56,"024065","#07-1127","audio/mpeg"
3980,6,"2024-03-02 09:08:07",-93,16,421061,"#11-225","audio/mpeg"
8873,6,"2024-03-02 10:37:46",-63,56,752065,"#10-77","audio/mpeg"
1540,6,"2024-03-02 13:31:33",-74,19,400091,"#04-4993","audio/mpeg"
18645,6,"2024-03-02 21:41:59",-73,33,230033,"#08-813","audio/mpeg"
19790,6,"2024-03-03 00:53:10",-72,19,900091,"#09-4198","audio/mpeg"
5910,6,"2024-03-03 12:50:59",-87,46,445064,"#11-1336","audio/mpeg"
21120,6,"2024-03-03 15:10:55",-62,19,900091,"#13-4188","audio/mpeg"
21120,6,"2024-03-03 15:13:56",-63,19,900091,"#13-4188","audio/mpeg"
3980,6,"2024-03-03 16:21:30",-90,16,421061,"#11-225","audio/mpeg"
3703,6,"2024-03-03 21:37:08",-78,56,752065,"#02-99","audio/mpeg"
3706,6,"2024-03-03 21:39:27",-69,56,752065,"#02-99","audio/mpeg"
12675,6,"2024-03-04 01:35:41",-87,"09",400090,"#06-478","audio/mpeg"
18324,6,"2024-03-04 06:25:09",-51,27,100172,"#04-95","audio/mpeg"
18324,6,"2024-03-04 06:35:29",-56,27,100172,"#04-95","audio/mpeg"
18324,6,"2024-03-04 06:35:29",-56,27,100172,"#04-95","audio/mpeg"
18324,6,"2024-03-04 06:39:44",-52,27,100172,"#04-95","audio/mpeg"
3811,6,"2024-03-04 11:24:43",-69,"05",500050,"#13-68","audio/mpeg"
17137,6,"2024-03-04 14:42:37",-86,46,930164,"#02-241","audio/mpeg"
19184,6,"2024-03-05 16:45:54",-92,19,800091,"#04-4122","audio/mpeg"
12690,6,"2024-03-05 20:19:45",-112,"09",300090,"#11-502","audio/mpeg"
1347,6,"2024-03-07 02:45:56",-75,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 02:46:15",-84,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 02:46:34",-81,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 02:47:22",-84,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 02:48:26",-86,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 03:10:55",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 03:20:22",-78,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 03:20:25",-80,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 03:20:29",-80,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 03:44:57",-80,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 03:45:00",-80,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 03:53:21",-81,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 04:19:53",-75,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 04:29:18",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 05:08:01",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 05:08:04",-78,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 05:41:02",-79,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 06:22:39",-84,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 07:10:41",-78,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 07:10:44",-75,20,700102,"#15-116","audio/mpeg"
20775,6,"2024-03-07 07:19:57",-54,19,800091,"#05-4094","audio/mpeg"
1347,6,"2024-03-07 08:14:54",-86,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 08:15:34",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 08:15:50",-86,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 08:16:17",-86,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 08:17:54",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:04:54",-84,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:04:58",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:28:29",-81,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:29:16",-75,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:33:57",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:34:01",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:34:04",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:34:08",-84,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:34:12",-81,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:34:15",-84,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:34:19",-76,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:34:22",-84,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:34:26",-79,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:34:29",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 09:37:09",-80,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 10:14:07",-84,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 10:44:39",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 10:50:00",-81,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 10:50:04",-78,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 11:14:01",-84,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 11:15:14",-81,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 11:16:13",-76,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 11:17:55",-82,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 11:20:01",-81,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 11:20:38",-80,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 11:21:16",-79,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 12:25:42",-81,20,700102,"#15-116","audio/mpeg"
1347,6,"2024-03-07 13:45:21",-84,20,700102,"#15-116","audio/mpeg"
20228,6,"2024-03-07 17:25:47",-90,19,900091,"#14-4204","audio/mpeg"
12409,6,"2024-03-07 20:55:15",-68,15,711151,"#04-205","audio/mpeg"
7615,6,"2024-03-08 00:26:49",-68,33,160033,"#08-3287","audio/mpeg"
12409,6,"2024-03-08 02:54:55",-50,15,711151,"#04-205","audio/mpeg"
12409,6,"2024-03-08 04:20:23",-50,15,711151,"#04-205","audio/mpeg"
12409,6,"2024-03-08 08:28:45",-50,15,711151,"#04-205","audio/mpeg"
19446,6,"2024-03-08 10:10:27",-88,33,130033,"#09-855","audio/mpeg"
7300,6,"2024-03-08 11:17:39",-54,16,421061,"#10-207","audio/mpeg"
12409,6,"2024-03-08 14:16:39",-52,15,711151,"#04-205","audio/mpeg"
920,6,"2024-03-08 14:22:17",-31,52,728125,"#02-360","audio/mpeg"
920,6,"2024-03-08 14:22:22",-52,52,728125,"#02-360","audio/mpeg"
12409,6,"2024-03-08 14:22:30",-68,15,711151,"#04-205","audio/mpeg"
920,6,"2024-03-08 14:24:41",-38,52,728125,"#02-360","audio/mpeg"
920,6,"2024-03-08 14:24:46",-48,52,728125,"#02-360","audio/mpeg"
920,6,"2024-03-08 14:27:08",-44,52,728125,"#02-360","audio/mpeg"
920,6,"2024-03-08 14:27:08",-44,52,728125,"#02-360","audio/mpeg"
920,6,"2024-03-08 14:32:33",-33,52,728125,"#02-360","audio/mpeg"
12409,6,"2024-03-08 14:47:57",-56,15,711151,"#04-205","audio/mpeg"
12409,6,"2024-03-08 14:49:52",-63,15,711151,"#04-205","audio/mpeg"
12409,6,"2024-03-08 14:56:14",-60,15,711151,"#04-205","audio/mpeg"
12409,6,"2024-03-08 15:28:05",-60,15,711151,"#04-205","audio/mpeg"
12409,6,"2024-03-08 15:35:35",-48,15,711151,"#04-205","audio/mpeg"
12409,6,"2024-03-08 18:46:12",-57,15,711151,"#04-205","audio/mpeg"
12409,6,"2024-03-08 19:23:00",-57,15,711151,"#04-205","audio/mpeg"
7705,6,"2024-03-08 20:21:12",-60,16,150061,"#10-109","audio/mpeg"
12409,6,"2024-03-08 22:46:22",-51,15,711151,"#04-205","audio/mpeg"
12409,6,"2024-03-08 22:54:56",-54,15,711151,"#04-205","audio/mpeg"
12409,6,"2024-03-09 01:06:04",-49,15,711151,"#04-205","audio/mpeg"
12409,6,"2024-03-09 01:46:59",-58,15,711151,"#04-205","audio/mpeg"
13489,6,"2024-03-09 09:31:14",-75,46,210064,"#03-586","audio/mpeg"
13237,6,"2024-03-09 15:14:36",-69,46,220164,"#02-522","audio/mpeg"
21657,6,"2024-03-09 22:49:13",-113,33,330033,"#11-735","audio/mpeg"
18485,6,"2024-03-10 07:41:46",-100,33,130033,"#12-845","audio/mpeg"
18485,6,"2024-03-10 07:44:01",-86,33,130033,"#12-845","audio/mpeg"
18485,6,"2024-03-10 07:45:47",-93,33,130033,"#12-845","audio/mpeg"
18485,6,"2024-03-10 07:45:53",-82,33,130033,"#12-845","audio/mpeg"
18485,6,"2024-03-10 07:45:56",-103,33,130033,"#12-845","audio/mpeg"
18485,6,"2024-03-10 10:55:00",-96,33,130033,"#12-845","audio/mpeg"
18485,6,"2024-03-10 10:56:08",-112,33,130033,"#12-845","audio/mpeg"
18485,6,"2024-03-10 11:05:52",-92,33,130033,"#12-845","audio/mpeg"
18485,6,"2024-03-10 11:05:58",-80,33,130033,"#12-845","audio/mpeg"
