Date,AH,CGH,KTPH,NTFGH,NUH(A),SGH,SKH,TTSH,WH
1/1/23,0.81,0.9,0.96,0.91,0.78,0.79,0.86,0.91,
2/1/23,0.85,0.91,0.98,0.92,0.83,0.84,0.88,0.96,
3/1/23,0.93,0.9,0.98,0.92,0.87,0.88,0.89,0.97,
4/1/23,0.91,0.88,0.96,0.9,0.87,0.9,0.9,0.98,
5/1/23,0.93,0.9,0.95,0.89,0.88,0.91,0.9,0.97,
6/1/23,0.91,0.88,0.94,0.89,0.86,0.86,0.9,0.96,
7/1/23,0.68,0.89,0.98,0.89,0.83,0.82,0.88,0.95,
8/1/23,0.92,0.89,1,0.9,0.85,0.82,0.89,0.98,
9/1/23,0.95,0.89,0.97,0.91,0.89,0.89,0.92,0.98,
10/1/23,0.94,0.88,0.99,0.92,0.89,0.89,0.93,0.98,
11/1/23,0.9,0.88,0.97,0.91,0.87,0.9,0.92,0.97,
12/1/23,0.86,0.87,0.94,0.89,0.86,0.86,0.94,0.94,
13/1/23,0.83,0.87,0.94,0.88,0.83,0.81,0.92,0.91,
14/1/23,0.82,0.88,0.92,0.9,0.79,0.79,0.9,0.9,
15/1/23,0.86,0.87,0.84,0.9,0.8,0.79,0.91,0.94,
16/1/23,0.88,0.88,0.97,0.9,0.85,0.84,0.91,0.94,
17/1/23,0.84,0.87,0.96,0.92,0.85,0.82,0.89,0.94,
18/1/23,0.76,0.85,0.95,0.89,0.81,0.8,0.91,0.95,
19/1/23,0.66,0.83,0.93,0.88,0.79,0.77,0.86,0.93,
20/1/23,0.56,0.79,0.85,0.78,0.7,0.67,0.74,0.79,
21/1/23,0.5,0.76,0.79,0.72,0.61,0.59,0.66,0.74,
22/1/23,0.53,0.8,0.81,0.82,0.63,0.59,0.7,0.77,
23/1/23,0.55,0.82,0.84,0.87,0.65,0.61,0.75,0.83,
24/1/23,0.59,0.85,0.9,0.89,0.72,0.67,0.8,0.91,
25/1/23,0.65,0.87,0.91,0.91,0.79,0.76,0.88,0.95,
26/1/23,0.64,0.87,0.92,0.9,0.82,0.8,0.9,0.93,
27/1/23,0.67,0.86,0.9,0.9,0.82,0.79,0.88,0.91,
28/1/23,0.71,0.87,0.91,0.89,0.79,0.76,0.88,0.94,
29/1/23,0.76,0.88,0.94,0.89,0.8,0.76,0.9,0.96,
30/1/23,0.83,0.89,0.96,0.91,0.82,0.82,0.92,0.95,
31/1/23,0.89,0.88,0.95,0.92,0.83,0.84,0.93,0.94,
