iot_lora_id,arrtime,rssi,district,post_code,recording
535,2024-04-29 18:21:31,-112,52,728125,0
535,2024-04-29 18:22:06,-112,52,728125,0
920,2024-03-08 10:24:59,-4,52,728125,0
920,2024-03-08 10:25:41,-40,52,728125,0
920,2024-03-08 10:25:55,-30,52,728125,0
920,2024-03-08 10:26:31,-46,52,728125,0
920,2024-03-08 10:27:00,-52,52,728125,0
920,2024-03-08 10:27:49,-43,52,728125,0
920,2024-03-08 10:31:08,-46,52,728125,0
920,2024-03-08 10:31:19,-23,52,728125,0
920,2024-03-08 10:44:18,-40,52,728125,0
920,2024-03-08 11:44:35,-48,52,728125,0
920,2024-03-08 11:44:42,-38,52,728125,0
920,2024-03-08 13:57:51,-37,52,728125,0
920,2024-03-08 13:57:59,-46,52,728125,0
920,2024-03-08 13:59:54,-39,52,728125,0
920,2024-03-08 14:00:08,-52,52,728125,0
920,2024-03-08 14:01:28,-40,52,728125,0
920,2024-03-08 14:01:37,-50,52,728125,0
920,2024-03-08 14:08:38,-36,52,728125,0
920,2024-03-08 14:18:53,-26,52,728125,0
920,2024-03-08 14:19:35,-44,52,728125,0
920,2024-03-08 14:19:38,-56,52,728125,0
920,2024-03-08 14:22:17,-31,52,728125,1
920,2024-03-08 14:22:22,-52,52,728125,1
920,2024-03-08 14:24:41,-38,52,728125,1
920,2024-03-08 14:24:46,-48,52,728125,1
920,2024-03-08 14:27:08,-44,52,728125,1
920,2024-03-08 14:32:33,-33,52,728125,1
920,2024-03-08 15:17:47,-26,52,728125,0
920,2024-03-08 15:18:01,-30,52,728125,0
920,2024-03-08 15:21:49,-30,52,728125,0
920,2024-03-08 15:21:55,-30,52,728125,0
920,2024-03-08 15:22:28,-28,52,728125,0
920,2024-03-08 15:22:40,-28,52,728125,0
920,2024-03-08 15:24:51,-26,52,728125,0
920,2024-03-08 15:25:03,-31,52,728125,0
920,2024-03-08 16:21:11,-32,52,728125,0
920,2024-03-08 16:21:25,-34,52,728125,0
920,2024-03-08 16:24:33,-34,52,728125,0
920,2024-03-08 16:24:47,-24,52,728125,0
920,2024-03-08 16:25:03,-3,52,728125,0
920,2024-03-08 16:25:32,-36,52,728125,0
920,2024-03-11 14:23:28,-31,52,728125,0
920,2024-03-15 16:50:35,-34,52,728125,0
920,2024-03-15 16:54:34,-44,52,728125,0
920,2024-03-15 16:57:57,-60,52,728125,0
920,2024-03-15 16:59:30,-36,52,728125,0
920,2024-03-18 15:48:28,3,52,728125,0
920,2024-03-18 15:49:45,-45,52,728125,0
920,2024-03-18 15:56:39,-48,52,728125,0
920,2024-03-18 16:00:15,-44,52,728125,0
1009,2024-03-24 14:06:48,-108,52,728125,0
1009,2024-03-24 14:07:01,-108,52,728125,0
1297,2024-03-28 15:39:12,-105,20,700102,0
1297,2024-03-28 15:39:15,-104,20,700102,0
1297,2024-04-03 13:37:11,-106,20,700102,0
1297,2024-04-03 13:37:14,-99,20,700102,0
1297,2024-04-03 13:37:16,-110,20,700102,0
1297,2024-04-03 13:37:19,-92,20,700102,0
1330,2024-04-28 09:39:06,-70,19,400091,1
1347,2024-03-05 05:29:49,-82,20,700102,0
1347,2024-03-06 13:18:27,-79,20,700102,0
1347,2024-03-06 22:45:43,-81,20,700102,0
1347,2024-03-06 22:46:09,-78,20,700102,0
1347,2024-03-07 02:45:56,-75,20,700102,1
1347,2024-03-07 02:46:15,-84,20,700102,1
1347,2024-03-07 02:46:34,-81,20,700102,1
1347,2024-03-07 02:47:22,-84,20,700102,1
1347,2024-03-07 02:48:26,-86,20,700102,1
1347,2024-03-07 02:49:27,-80,20,700102,0
1347,2024-03-07 02:58:03,-80,20,700102,0
1347,2024-03-07 02:59:19,-80,20,700102,0
1347,2024-03-07 03:00:06,-78,20,700102,0
1347,2024-03-07 03:00:49,-78,20,700102,0
1347,2024-03-07 03:07:31,-80,20,700102,0
1347,2024-03-07 03:08:47,-81,20,700102,0
1347,2024-03-07 03:10:55,-82,20,700102,1
1347,2024-03-07 03:20:22,-78,20,700102,1
1347,2024-03-07 03:20:25,-80,20,700102,1
1347,2024-03-07 03:20:29,-80,20,700102,1
1347,2024-03-07 03:44:57,-80,20,700102,1
1347,2024-03-07 03:45:00,-80,20,700102,1
1347,2024-03-07 03:53:21,-81,20,700102,1
1347,2024-03-07 04:06:58,-82,20,700102,0
1347,2024-03-07 04:19:53,-75,20,700102,1
1347,2024-03-07 04:29:18,-82,20,700102,1
1347,2024-03-07 04:37:21,-78,20,700102,0
1347,2024-03-07 04:44:37,-80,20,700102,0
1347,2024-03-07 04:44:40,-76,20,700102,0
1347,2024-03-07 04:44:44,-82,20,700102,0
1347,2024-03-07 04:46:14,-76,20,700102,0
1347,2024-03-07 04:46:17,-82,20,700102,0
1347,2024-03-07 04:47:06,-80,20,700102,0
1347,2024-03-07 04:47:10,-63,20,700102,0
1347,2024-03-07 05:08:01,-82,20,700102,1
1347,2024-03-07 05:08:04,-78,20,700102,1
1347,2024-03-07 05:41:02,-79,20,700102,1
1347,2024-03-07 05:42:09,-78,20,700102,0
1347,2024-03-07 05:48:52,-80,20,700102,0
1347,2024-03-07 05:53:21,-82,20,700102,0
1347,2024-03-07 05:57:51,-78,20,700102,0
1347,2024-03-07 06:00:32,-76,20,700102,0
1347,2024-03-07 06:22:39,-84,20,700102,1
1347,2024-03-07 06:26:46,-81,20,700102,0
1347,2024-03-07 06:30:46,-76,20,700102,0
1347,2024-03-07 06:30:50,-79,20,700102,0
1347,2024-03-07 06:30:53,-80,20,700102,0
1347,2024-03-07 06:31:27,-81,20,700102,0
1347,2024-03-07 06:34:47,-81,20,700102,0
1347,2024-03-07 06:37:39,-62,20,700102,0
1347,2024-03-07 06:41:59,-80,20,700102,0
1347,2024-03-07 07:10:41,-78,20,700102,1
1347,2024-03-07 07:10:44,-75,20,700102,1
1347,2024-03-07 07:14:13,-80,20,700102,0
1347,2024-03-07 07:15:26,-76,20,700102,0
1347,2024-03-07 07:27:35,-80,20,700102,0
1347,2024-03-07 08:14:54,-86,20,700102,1
1347,2024-03-07 08:15:34,-82,20,700102,1
1347,2024-03-07 08:15:50,-86,20,700102,1
1347,2024-03-07 08:16:17,-86,20,700102,1
1347,2024-03-07 08:17:54,-82,20,700102,1
1347,2024-03-07 08:18:30,-86,20,700102,0
1347,2024-03-07 08:19:11,-82,20,700102,0
1347,2024-03-07 08:24:34,-80,20,700102,0
1347,2024-03-07 08:24:38,-84,20,700102,0
1347,2024-03-07 09:04:54,-84,20,700102,1
1347,2024-03-07 09:04:58,-82,20,700102,1
1347,2024-03-07 09:05:45,-82,20,700102,0
1347,2024-03-07 09:09:29,-80,20,700102,0
1347,2024-03-07 09:09:33,-82,20,700102,0
1347,2024-03-07 09:19:03,-80,20,700102,0
1347,2024-03-07 09:27:09,-78,20,700102,0
1347,2024-03-07 09:28:29,-81,20,700102,1
1347,2024-03-07 09:29:16,-75,20,700102,1
1347,2024-03-07 09:33:57,-82,20,700102,1
1347,2024-03-07 09:34:01,-82,20,700102,1
1347,2024-03-07 09:34:04,-82,20,700102,1
1347,2024-03-07 09:34:08,-84,20,700102,1
1347,2024-03-07 09:34:12,-81,20,700102,1
1347,2024-03-07 09:34:15,-84,20,700102,1
1347,2024-03-07 09:34:19,-76,20,700102,1
1347,2024-03-07 09:34:22,-84,20,700102,1
1347,2024-03-07 09:34:26,-79,20,700102,1
1347,2024-03-07 09:34:29,-82,20,700102,1
1347,2024-03-07 09:37:09,-80,20,700102,1
1347,2024-03-07 09:41:50,-78,20,700102,0
1347,2024-03-07 09:42:34,-82,20,700102,0
1347,2024-03-07 09:42:53,-86,20,700102,0
1347,2024-03-07 09:45:50,-81,20,700102,0
1347,2024-03-07 09:45:54,-82,20,700102,0
1347,2024-03-07 09:49:11,-81,20,700102,0
1347,2024-03-07 09:49:19,-76,20,700102,0
1347,2024-03-07 09:49:47,-80,20,700102,0
1347,2024-03-07 09:49:51,-84,20,700102,0
1347,2024-03-07 09:53:07,-80,20,700102,0
1347,2024-03-07 09:53:11,-81,20,700102,0
1347,2024-03-07 09:56:55,-76,20,700102,0
1347,2024-03-07 09:57:47,-82,20,700102,0
1347,2024-03-07 09:58:38,-76,20,700102,0
1347,2024-03-07 09:58:46,-80,20,700102,0
1347,2024-03-07 09:58:51,-82,20,700102,0
1347,2024-03-07 09:58:56,-81,20,700102,0
1347,2024-03-07 09:59:47,-80,20,700102,0
1347,2024-03-07 10:01:15,-82,20,700102,0
1347,2024-03-07 10:14:07,-84,20,700102,1
1347,2024-03-07 10:15:39,-80,20,700102,0
1347,2024-03-07 10:16:54,-84,20,700102,0
1347,2024-03-07 10:24:35,-84,20,700102,0
1347,2024-03-07 10:24:39,-80,20,700102,0
1347,2024-03-07 10:44:39,-82,20,700102,1
1347,2024-03-07 10:50:00,-81,20,700102,1
1347,2024-03-07 10:50:04,-78,20,700102,1
1347,2024-03-07 10:52:52,-82,20,700102,0
1347,2024-03-07 10:52:56,-84,20,700102,0
