iot_lora_id,port,arrtime,rssi,district,post_code,recording
17592,6,01/03/2024 00:17,-76,46,460024,audio/mpeg
17592,6,01/03/2024 00:49,-74,46,460024,audio/mpeg
17592,6,01/03/2024 01:04,-72,46,460024,audio/mpeg
17592,6,01/03/2024 01:14,-80,46,460024,audio/mpeg
17592,6,01/03/2024 01:42,-80,46,460024,audio/mpeg
7508,6,01/03/2024 01:45,-84,33,330062,audio/mpeg
7508,6,01/03/2024 02:02,-88,33,330062,audio/mpeg
7508,6,01/03/2024 02:02,-88,33,330062,audio/mpeg
7508,6,01/03/2024 02:07,-86,33,330062,audio/mpeg
7508,6,01/03/2024 02:07,-86,33,330062,audio/mpeg
7508,6,01/03/2024 02:13,-80,33,330062,audio/mpeg
7508,6,01/03/2024 02:13,-80,33,330062,audio/mpeg
7508,6,01/03/2024 02:19,-88,33,330062,audio/mpeg
7508,6,01/03/2024 02:29,-88,33,330062,audio/mpeg
7508,6,01/03/2024 02:29,-88,33,330062,audio/mpeg
7508,6,01/03/2024 02:34,-85,33,330062,audio/mpeg
7508,6,01/03/2024 02:34,-85,33,330062,audio/mpeg
13564,6,01/03/2024 08:39,-84,46,461031,audio/mpeg
17324,6,01/03/2024 11:51,-74,46,461023,audio/mpeg
15946,6,01/03/2024 15:34,-79,46,46003,audio/mpeg
14086,6,02/03/2024 00:27,-102,56,56042,audio/mpeg
3980,6,02/03/2024 09:08,-93,16,160124,audio/mpeg
8873,6,02/03/2024 10:37,-63,56,560257,audio/mpeg
1540,6,02/03/2024 13:31,-74,19,190004,audio/mpeg
18645,6,02/03/2024 21:41,-73,33,330032,audio/mpeg
19790,6,03/03/2024 00:53,-72,19,190009,audio/mpeg
5910,6,03/03/2024 12:50,-87,46,460544,audio/mpeg
21120,6,03/03/2024 15:10,-62,19,190009,audio/mpeg
21120,6,03/03/2024 15:13,-63,19,190009,audio/mpeg
3980,6,03/03/2024 16:21,-90,16,160124,audio/mpeg
3703,6,03/03/2024 21:37,-78,56,560257,audio/mpeg
3706,6,03/03/2024 21:39,-69,56,560257,audio/mpeg
12675,6,04/03/2024 01:35,-87,9,90004,audio/mpeg
18324,6,04/03/2024 06:25,-51,27,271001,audio/mpeg
18324,6,04/03/2024 06:35,-56,27,271001,audio/mpeg
18324,6,04/03/2024 06:35,-56,27,271001,audio/mpeg
18324,6,04/03/2024 06:39,-52,27,271001,audio/mpeg
3811,6,04/03/2024 11:24,-69,5,50005,audio/mpeg
17137,6,04/03/2024 14:42,-86,46,461039,audio/mpeg
19184,6,05/03/2024 16:45,-92,19,190008,audio/mpeg
12690,6,05/03/2024 20:19,-112,9,90003,audio/mpeg
1347,6,07/03/2024 02:45,-75,20,201007,audio/mpeg
1347,6,07/03/2024 02:46,-84,20,201007,audio/mpeg
1347,6,07/03/2024 02:46,-81,20,201007,audio/mpeg
1347,6,07/03/2024 02:47,-84,20,201007,audio/mpeg
1347,6,07/03/2024 02:48,-86,20,201007,audio/mpeg
1347,6,07/03/2024 03:10,-82,20,201007,audio/mpeg
1347,6,07/03/2024 03:20,-78,20,201007,audio/mpeg
1347,6,07/03/2024 03:20,-80,20,201007,audio/mpeg
1347,6,07/03/2024 03:20,-80,20,201007,audio/mpeg
1347,6,07/03/2024 03:44,-80,20,201007,audio/mpeg
1347,6,07/03/2024 03:45,-80,20,201007,audio/mpeg
1347,6,07/03/2024 03:53,-81,20,201007,audio/mpeg
1347,6,07/03/2024 04:19,-75,20,201007,audio/mpeg
1347,6,07/03/2024 04:29,-82,20,201007,audio/mpeg
1347,6,07/03/2024 05:08,-82,20,201007,audio/mpeg
1347,6,07/03/2024 05:08,-78,20,201007,audio/mpeg
1347,6,07/03/2024 05:41,-79,20,201007,audio/mpeg
1347,6,07/03/2024 06:22,-84,20,201007,audio/mpeg
1347,6,07/03/2024 07:10,-78,20,201007,audio/mpeg
1347,6,07/03/2024 07:10,-75,20,201007,audio/mpeg
20775,6,07/03/2024 07:19,-54,19,190008,audio/mpeg
1347,6,07/03/2024 08:14,-86,20,201007,audio/mpeg
1347,6,07/03/2024 08:15,-82,20,201007,audio/mpeg
1347,6,07/03/2024 08:15,-86,20,201007,audio/mpeg
1347,6,07/03/2024 08:16,-86,20,201007,audio/mpeg
1347,6,07/03/2024 08:17,-82,20,201007,audio/mpeg
1347,6,07/03/2024 09:04,-84,20,201007,audio/mpeg
1347,6,07/03/2024 09:04,-82,20,201007,audio/mpeg
1347,6,07/03/2024 09:28,-81,20,201007,audio/mpeg
1347,6,07/03/2024 09:29,-75,20,201007,audio/mpeg
1347,6,07/03/2024 09:33,-82,20,201007,audio/mpeg
1347,6,07/03/2024 09:34,-82,20,201007,audio/mpeg
1347,6,07/03/2024 09:34,-82,20,201007,audio/mpeg
1347,6,07/03/2024 09:34,-84,20,201007,audio/mpeg
1347,6,07/03/2024 09:34,-81,20,201007,audio/mpeg
1347,6,07/03/2024 09:34,-84,20,201007,audio/mpeg
1347,6,07/03/2024 09:34,-76,20,201007,audio/mpeg
1347,6,07/03/2024 09:34,-84,20,201007,audio/mpeg
1347,6,07/03/2024 09:34,-79,20,201007,audio/mpeg
1347,6,07/03/2024 09:34,-82,20,201007,audio/mpeg
1347,6,07/03/2024 09:37,-80,20,201007,audio/mpeg
1347,6,07/03/2024 10:14,-84,20,201007,audio/mpeg
1347,6,07/03/2024 10:44,-82,20,201007,audio/mpeg
1347,6,07/03/2024 10:50,-81,20,201007,audio/mpeg
1347,6,07/03/2024 10:50,-78,20,201007,audio/mpeg
1347,6,07/03/2024 11:14,-84,20,201007,audio/mpeg
1347,6,07/03/2024 11:15,-81,20,201007,audio/mpeg
1347,6,07/03/2024 11:16,-76,20,201007,audio/mpeg
1347,6,07/03/2024 11:17,-82,20,201007,audio/mpeg
1347,6,07/03/2024 11:20,-81,20,201007,audio/mpeg
1347,6,07/03/2024 11:20,-80,20,201007,audio/mpeg
1347,6,07/03/2024 11:21,-79,20,201007,audio/mpeg
1347,6,07/03/2024 12:25,-81,20,201007,audio/mpeg
1347,6,07/03/2024 13:45,-84,20,201007,audio/mpeg
20228,6,07/03/2024 17:25,-90,19,190009,audio/mpeg
12409,6,07/03/2024 20:55,-68,15,151117,audio/mpeg
7615,6,08/03/2024 00:26,-68,33,330061,audio/mpeg
12409,6,08/03/2024 02:54,-50,15,151117,audio/mpeg
12409,6,08/03/2024 04:20,-50,15,151117,audio/mpeg
12409,6,08/03/2024 08:28,-50,15,151117,audio/mpeg
19446,6,08/03/2024 10:10,-88,33,330031,audio/mpeg
7300,6,08/03/2024 11:17,-54,16,160124,audio/mpeg
12409,6,08/03/2024 14:16,-52,15,151117,audio/mpeg
920,6,08/03/2024 14:22,-31,52,521827,audio/mpeg
920,6,08/03/2024 14:22,-52,52,521827,audio/mpeg
12409,6,08/03/2024 14:22,-68,15,151117,audio/mpeg
920,6,08/03/2024 14:24,-38,52,521827,audio/mpeg
920,6,08/03/2024 14:24,-48,52,521827,audio/mpeg
920,6,08/03/2024 14:27,-44,52,521827,audio/mpeg
920,6,08/03/2024 14:27,-44,52,521827,audio/mpeg
920,6,08/03/2024 14:32,-33,52,521827,audio/mpeg
12409,6,08/03/2024 14:47,-56,15,151117,audio/mpeg
12409,6,08/03/2024 14:49,-63,15,151117,audio/mpeg
12409,6,08/03/2024 14:56,-60,15,151117,audio/mpeg
12409,6,08/03/2024 15:28,-60,15,151117,audio/mpeg
12409,6,08/03/2024 15:35,-48,15,151117,audio/mpeg
12409,6,08/03/2024 18:46,-57,15,151117,audio/mpeg
12409,6,08/03/2024 19:23,-57,15,151117,audio/mpeg
7705,6,08/03/2024 20:21,-60,16,160051,audio/mpeg
12409,6,08/03/2024 22:46,-51,15,151117,audio/mpeg
12409,6,08/03/2024 22:54,-54,15,151117,audio/mpeg
12409,6,09/03/2024 01:06,-49,15,151117,audio/mpeg
12409,6,09/03/2024 01:46,-58,15,151117,audio/mpeg
13489,6,09/03/2024 09:31,-75,46,460012,audio/mpeg
13237,6,09/03/2024 15:14,-69,46,461022,audio/mpeg
21657,6,09/03/2024 22:49,-113,33,330033,audio/mpeg
18485,6,10/03/2024 07:41,-100,33,330031,audio/mpeg
18485,6,10/03/2024 07:44,-86,33,330031,audio/mpeg
18485,6,10/03/2024 07:45,-93,33,330031,audio/mpeg
18485,6,10/03/2024 07:45,-82,33,330031,audio/mpeg
18485,6,10/03/2024 07:45,-103,33,330031,audio/mpeg
18485,6,10/03/2024 10:55,-96,33,330031,audio/mpeg
18485,6,10/03/2024 10:56,-112,33,330031,audio/mpeg
18485,6,10/03/2024 11:05,-92,33,330031,audio/mpeg
18485,6,10/03/2024 11:05,-80,33,330031,audio/mpeg
18485,6,10/03/2024 11:06,-92,33,330031,audio/mpeg
18485,6,10/03/2024 11:12,-90,33,330031,audio/mpeg
12409,6,10/03/2024 11:44,-49,15,151117,audio/mpeg
12409,6,10/03/2024 11:49,-50,15,151117,audio/mpeg
12409,6,10/03/2024 12:20,-56,15,151117,audio/mpeg
13242,6,10/03/2024 14:49,-52,46,46003,audio/mpeg
20530,6,11/03/2024 07:52,-68,19,190009,audio/mpeg
18485,6,11/03/2024 10:56,-96,33,330031,audio/mpeg
18485,6,11/03/2024 11:04,-92,33,330031,audio/mpeg
20530,6,11/03/2024 11:13,-66,19,190009,audio/mpeg
16255,6,11/03/2024 11:33,-51,37,37009,audio/mpeg
17705,6,11/03/2024 15:27,-86,46,460024,audio/mpeg
12865,6,11/03/2024 16:58,-93,46,461031,audio/mpeg
3074,6,12/03/2024 07:55,-48,57,570026,audio/mpeg
12301,6,12/03/2024 10:59,-54,9,90003,audio/mpeg
18485,6,12/03/2024 18:59,-110,33,330031,audio/mpeg
18485,6,12/03/2024 19:04,-96,33,330031,audio/mpeg
18735,6,13/03/2024 07:31,-80,27,271001,audio/mpeg
18485,6,13/03/2024 10:28,-96,33,330031,audio/mpeg
18347,6,13/03/2024 15:36,-57,27,271001,audio/mpeg
8082,6,13/03/2024 17:47,-86,9,90019,audio/mpeg
16591,6,13/03/2024 22:43,-64,37,37009,audio/mpeg
16591,6,13/03/2024 22:54,-72,37,37009,audio/mpeg
1762,6,14/03/2024 19:17,-49,19,190005,audio/mpeg
6468,6,14/03/2024 20:31,-84,33,330061,audio/mpeg
21153,6,14/03/2024 20:54,-91,33,330062,audio/mpeg
7802,6,15/03/2024 03:39,-82,16,160051,audio/mpeg
8045,6,15/03/2024 05:27,-95,33,330062,audio/mpeg
8045,6,15/03/2024 05:27,-95,33,330062,audio/mpeg
10008,6,15/03/2024 13:03,-64,33,330062,audio/mpeg
5391,6,16/03/2024 03:10,-92,16,160051,audio/mpeg
8045,6,16/03/2024 12:14,-84,33,330062,audio/mpeg
5948,6,16/03/2024 17:22,-84,15,150089,audio/mpeg
8045,6,16/03/2024 18:40,-100,33,330062,audio/mpeg
8045,6,17/03/2024 00:50,-98,33,330062,audio/mpeg
12649,6,17/03/2024 10:21,-90,31,310015,audio/mpeg
5030,6,17/03/2024 21:13,-72,16,160124,audio/mpeg
18816,6,17/03/2024 22:21,-72,33,330031,audio/mpeg
21888,6,18/03/2024 04:52,-81,15,151123,audio/mpeg
8601,6,18/03/2024 14:59,-76,33,330062,audio/mpeg
7534,6,19/03/2024 00:03,-72,16,160051,audio/mpeg
12306,6,19/03/2024 09:55,-102,15,151117,audio/mpeg
7572,6,19/03/2024 09:57,-63,33,330061,audio/mpeg
12306,6,19/03/2024 11:33,-102,15,151117,audio/mpeg
12306,6,19/03/2024 11:42,-99,15,151117,audio/mpeg
12306,6,19/03/2024 12:00,-100,15,151117,audio/mpeg
12306,6,19/03/2024 12:49,-106,15,151117,audio/mpeg
12306,6,19/03/2024 13:11,-108,15,151117,audio/mpeg
12306,6,19/03/2024 15:04,-100,15,151117,audio/mpeg
10194,6,20/03/2024 10:24,-84,15,151121,audio/mpeg
12306,6,20/03/2024 13:04,-100,15,151117,audio/mpeg
12306,6,20/03/2024 13:17,-102,15,151117,audio/mpeg
12306,6,20/03/2024 14:26,-97,15,151117,audio/mpeg
12306,6,20/03/2024 14:40,-110,15,151117,audio/mpeg
18387,6,20/03/2024 15:39,-82,33,330031,audio/mpeg
3465,6,20/03/2024 19:57,-88,16,160106,audio/mpeg
13297,6,21/03/2024 02:29,-97,46,460012,audio/mpeg
13297,6,21/03/2024 02:39,-93,46,460012,audio/mpeg
13297,6,21/03/2024 02:39,-93,46,460012,audio/mpeg
13297,6,21/03/2024 02:45,-93,46,460012,audio/mpeg
5235,6,21/03/2024 14:06,-105,37,37009,audio/mpeg
11048,6,21/03/2024 14:10,-72,15,150003,audio/mpeg
1500,6,21/03/2024 14:10,-73,31,310005,audio/mpeg
12306,6,21/03/2024 14:37,-88,15,151117,audio/mpeg
12306,6,21/03/2024 14:52,-90,15,151117,audio/mpeg
12306,6,21/03/2024 17:10,-84,15,151117,audio/mpeg
12306,6,21/03/2024 17:37,-81,15,151117,audio/mpeg
20714,6,21/03/2024 22:18,-78,19,190008,audio/mpeg
15353,6,22/03/2024 03:38,-62,46,461038,audio/mpeg
15353,6,22/03/2024 03:39,-63,46,461038,audio/mpeg
15353,6,22/03/2024 03:39,-63,46,461038,audio/mpeg
15353,6,22/03/2024 03:39,-82,46,461038,audio/mpeg
15353,6,22/03/2024 03:39,-62,46,461038,audio/mpeg
20039,6,22/03/2024 04:58,-87,19,190009,audio/mpeg
18887,6,22/03/2024 14:21,-62,33,330033,audio/mpeg
7371,6,22/03/2024 16:28,-78,33,330062,audio/mpeg
13297,6,23/03/2024 00:25,-98,46,460012,audio/mpeg
13297,6,23/03/2024 00:45,-96,46,460012,audio/mpeg
15027,6,23/03/2024 07:48,-64,73,730003,audio/mpeg
13297,6,24/03/2024 12:21,-94,46,460012,audio/mpeg
5153,6,24/03/2024 18:19,-67,16,161079,audio/mpeg
13297,6,25/03/2024 09:55,-93,46,460012,audio/mpeg
6508,6,26/03/2024 11:42,-72,15,150089,audio/mpeg
1605,6,26/03/2024 14:13,-74,20,201007,audio/mpeg
12604,6,26/03/2024 14:14,-63,46,461031,audio/mpeg
12564,6,26/03/2024 14:15,-54,46,461031,audio/mpeg
22209,6,28/03/2024 10:02,-92,15,150089,audio/mpeg
19215,6,28/03/2024 14:44,-68,33,330033,audio/mpeg
12986,6,28/03/2024 21:07,-98,46,461031,audio/mpeg
22111,6,28/03/2024 21:21,-63,15,150089,audio/mpeg
20176,6,29/03/2024 04:23,-92,33,330031,audio/mpeg
13970,6,29/03/2024 10:07,-88,56,560217,audio/mpeg
13970,6,29/03/2024 10:10,-90,56,560217,audio/mpeg
4801,6,29/03/2024 18:47,-72,16,160106,audio/mpeg
18722,6,30/03/2024 06:34,-80,27,271001,audio/mpeg
3936,6,30/03/2024 08:18,-66,5,50005,audio/mpeg
21571,6,30/03/2024 13:33,-63,46,461023,audio/mpeg
7964,6,30/03/2024 21:29,-87,33,330061,audio/mpeg
2356,6,31/03/2024 10:02,-96,19,190005,audio/mpeg
21466,6,31/03/2024 12:10,-80,46,460024,audio/mpeg
4227,6,31/03/2024 15:46,-96,56,560115,audio/mpeg
